stationId,stationName
20002,Skagen Havn
20043,Hirtshals Havn II
20047,Hirtshals Havn I
20048,Hirtshals Havn
20098,Frederikshavn
20101,Frederikshavn I
20102,Frederikshavn II
20566,Hobro Havn I
20567,Hobro Havn II
21008,Hanstholm Havn
21009,Hanstholm Havn I
21011,Hanstholm Havn II
22009,Udbyhøj Havn II
22058,Randers Havn I
22059,Randers Havn II
22121,Grenå Havn I
22122,Grenå Havn II
22331,Århus Havn I
22332,Århus Havn
22333,Århus Havn II
22598,Hov Havn I
22599,Hov Havn II
23132,Juelsminde Havn
23289,Fredericia Havn II
23292,Fredericia Havn
23293,Fredericia Havn
25148,Esbjerg Havn
25149,Esbjerg Havn
26359,Vidåslusen/Højer
26457,Fynshav Havn I
26458,Fynshav Havn
26459,Fynshav Havn II
27084,Ballen Havn
28232,Slipshavn
28233,Slipshavn
28234,Slipshavn
28548,Bagenkop Havn
29002,Havnebyen/Sjællands Odde
29038,Holbæk Havn I
29039,Holbæk Havn II
29392,Korsør Havn
29393,Korsør Havn I
29394,Korsør Havn II
30017,Hornbæk Havn
30018,Hornbæk Havn
30202,Vedbæk Havn I
30203,Vedbæk Havn II
30336,Københavns Havn
30337,Københavns Havn
30338,Københavns Havn
30339,Københavns Havn
30357,Drogden Fyr
30361,Dragør Havn I
30363,Dragør Havn II
30407,Roskilde Havn I
30409,Roskilde Havn II
30478,Køge Havn I
30479,Køge Havn II
31063,Rødvig Havn
31572,Rødbyhavns Havn
31573,Rødbyhavns Havn I
31574,Rødbyhavns Havn II
31616,Gedser Havn I
31618,Gedser Havn
31623,Gedser Havn II
32048,Tejn Havn
9004201,Thyborøn Havn
9004203,Thyborøn Kyst
9004303,Ferring
9005101,Thorsminde Havn
9005103,Thorsminde Kyst I
9005104,Thorsminde Kyst II
9005110,Thorsminde Fjord
9005113,Felsted Kog/Klosterhul
9005201,Hvide Sande Havn
9005203,Hvide Sande Kyst
9005210,Hvide Sande Fjord
9005212,Ringkøbing Havn
9005213,Bork Havn
9006401,Esbjerg Havn
9006501,Vidåslusen/Højer
9006601,Ballum Sluse
9006701,Ribe Kammersluse I
9006703,Ribe Kammersluse II
9006801,Havneby Havn I
9006802,Havneby Havn II
9006901,Brøns Sluse I
9006902,Brøns Sluse II
9007101,Mandø I
9007102,Mandø II
9010101,Haderslev Havn I
9010102,Haderslev Havn II
9010201,Sønderborg Havn I
9010202,Sønderborg Havn II
9020101,Bogense Havn I
9020102,Bogense Havn II
9020201,Assens Havn I
9020202,Assens Havn II
9020301,Fåborg Havn I
9020302,Fåborg Havn II
9020401,Kerteminde Havn I
9020402,Kerteminde Havn II
9030101,Karrebæksminde I
9030102,Karrebæksminde II
9030201,Kalvehave I
9030202,Kalvehave II
9030301,Hesnæs Havn I
9030302,Hesnæs Havn II
9030401,Rønne Havn I
9030402,Rønne Havn II
9030501,Bandholm Havn I
9030502,Bandholm Havn II